"Popolazione residente per età e sesso al 1° gennaio 2026 (stima)"
"Codice comune";"Comune";"Età";"Totale maschi";"Totale femmine";"Totale"
"078001";"Acquaformosa";0;3;0;3
"078001";"Acquaformosa";1;4;1;5
"078001";"Acquaformosa";2;2;4;6
"078001";"Acquaformosa";3;5;0;5
"078001";"Acquaformosa";4;4;0;4
"078001";"Acquaformosa";5;0;0;0
"078001";"Acquaformosa";6;4;4;8
"078001";"Acquaformosa";7;3;2;5
"078001";"Acquaformosa";8;2;5;7
"078001";"Acquaformosa";9;4;4;8
"078001";"Acquaformosa";10;1;3;4
"078001";"Acquaformosa";11;2;2;4
"078001";"Acquaformosa";12;3;7;10
"078001";"Acquaformosa";13;4;4;8
"078001";"Acquaformosa";14;1;1;2
"078001";"Acquaformosa";15;7;0;7
"078001";"Acquaformosa";16;8;6;14
"078001";"Acquaformosa";17;7;5;12
"078001";"Acquaformosa";18;6;2;8
"078001";"Acquaformosa";19;10;3;13
"078001";"Acquaformosa";20;6;3;9
"078001";"Acquaformosa";21;1;5;6
"078001";"Acquaformosa";22;4;4;8
"078001";"Acquaformosa";23;7;2;9
"078001";"Acquaformosa";24;4;7;11
"078001";"Acquaformosa";25;2;1;3
"078001";"Acquaformosa";26;5;2;7
"078001";"Acquaformosa";27;2;7;9
"078001";"Acquaformosa";28;6;4;10
"078001";"Acquaformosa";29;6;4;10
"078001";"Acquaformosa";30;4;7;11
"078001";"Acquaformosa";31;8;5;13
"078001";"Acquaformosa";32;3;3;6
"078001";"Acquaformosa";33;2;5;7
"078001";"Acquaformosa";34;5;5;10
"078001";"Acquaformosa";35;8;4;12
"078001";"Acquaformosa";36;8;3;11
"078001";"Acquaformosa";37;10;4;14
"078001";"Acquaformosa";38;6;5;11
"078001";"Acquaformosa";39;5;5;10
"078001";"Acquaformosa";40;6;2;8
"078001";"Acquaformosa";41;2;5;7
"078001";"Acquaformosa";42;5;4;9
"078001";"Acquaformosa";43;6;4;10
"078001";"Acquaformosa";44;5;4;9
"078001";"Acquaformosa";45;3;7;10
"078001";"Acquaformosa";46;6;4;10
"078001";"Acquaformosa";47;8;4;12
"078001";"Acquaformosa";48;3;4;7
"078001";"Acquaformosa";49;1;6;7
"078001";"Acquaformosa";50;6;5;11
"078001";"Acquaformosa";51;7;6;13
"078001";"Acquaformosa";52;6;7;13
"078001";"Acquaformosa";53;7;5;12
"078001";"Acquaformosa";54;6;2;8
"078001";"Acquaformosa";55;9;8;17
"078001";"Acquaformosa";56;8;10;18
"078001";"Acquaformosa";57;5;6;11
"078001";"Acquaformosa";58;10;11;21
"078001";"Acquaformosa";59;8;7;15
"078001";"Acquaformosa";60;12;6;18
"078001";"Acquaformosa";61;9;7;16
"078001";"Acquaformosa";62;7;6;13
"078001";"Acquaformosa";63;10;12;22
"078001";"Acquaformosa";64;6;14;20
"078001";"Acquaformosa";65;6;8;14
"078001";"Acquaformosa";66;6;5;11
"078001";"Acquaformosa";67;8;7;15
"078001";"Acquaformosa";68;14;8;22
"078001";"Acquaformosa";69;7;4;11
"078001";"Acquaformosa";70;4;7;11
"078001";"Acquaformosa";71;8;6;14
"078001";"Acquaformosa";72;4;8;12
"078001";"Acquaformosa";73;6;9;15
"078001";"Acquaformosa";74;5;8;13
"078001";"Acquaformosa";75;6;6;12
"078001";"Acquaformosa";76;6;4;10
"078001";"Acquaformosa";77;3;11;14
"078001";"Acquaformosa";78;9;6;15
"078001";"Acquaformosa";79;5;7;12
"078001";"Acquaformosa";80;5;10;15
"078001";"Acquaformosa";81;4;5;9
"078001";"Acquaformosa";82;3;1;4
"078001";"Acquaformosa";83;0;5;5
"078001";"Acquaformosa";84;4;1;5
"078001";"Acquaformosa";85;5;4;9
"078001";"Acquaformosa";86;2;2;4
"078001";"Acquaformosa";87;5;5;10
"078001";"Acquaformosa";88;3;4;7
"078001";"Acquaformosa";89;3;2;5
"078001";"Acquaformosa";90;2;6;8
"078001";"Acquaformosa";91;0;2;2
"078001";"Acquaformosa";92;2;2;4
"078001";"Acquaformosa";93;1;1;2
"078001";"Acquaformosa";94;0;0;0
"078001";"Acquaformosa";95;0;0;0
"078001";"Acquaformosa";96;1;0;1
"078001";"Acquaformosa";97;0;1;1
"078001";"Acquaformosa";98;0;0;0
"078001";"Acquaformosa";99;0;0;0
"078001";"Acquaformosa";100;0;1;1
"078001";"Acquaformosa";999;480;450;930
"078002";"Acquappesa";0;4;3;7
"078002";"Acquappesa";1;2;2;4
"078002";"Acquappesa";2;3;9;12
"078002";"Acquappesa";3;4;7;11
"078002";"Acquappesa";4;2;10;12
"078002";"Acquappesa";5;8;6;14
"078002";"Acquappesa";6;9;5;14
"078002";"Acquappesa";7;10;5;15
"078002";"Acquappesa";8;5;5;10
"078002";"Acquappesa";9;13;8;21
"078002";"Acquappesa";10;9;11;20
"078002";"Acquappesa";11;8;4;12
"078002";"Acquappesa";12;6;7;13
"078002";"Acquappesa";13;6;6;12
"078002";"Acquappesa";14;6;11;17
"078002";"Acquappesa";15;6;5;11
"078002";"Acquappesa";16;8;8;16
"078002";"Acquappesa";17;7;7;14
"078002";"Acquappesa";18;6;8;14
"078002";"Acquappesa";19;4;8;12
"078002";"Acquappesa";20;5;4;9
"078002";"Acquappesa";21;7;7;14
"078002";"Acquappesa";22;7;9;16
"078002";"Acquappesa";23;5;6;11
"078002";"Acquappesa";24;5;9;14
"078002";"Acquappesa";25;2;10;12
"078002";"Acquappesa";26;9;8;17
"078002";"Acquappesa";27;10;8;18
"078002";"Acquappesa";28;2;10;12
"078002";"Acquappesa";29;10;6;16
"078002";"Acquappesa";30;5;6;11
"078002";"Acquappesa";31;11;11;22
"078002";"Acquappesa";32;6;12;18
"078002";"Acquappesa";33;9;7;16
"078002";"Acquappesa";34;5;14;19
"078002";"Acquappesa";35;10;9;19
"078002";"Acquappesa";36;11;9;20
"078002";"Acquappesa";37;7;8;15
"078002";"Acquappesa";38;15;8;23
"078002";"Acquappesa";39;10;12;22
"078002";"Acquappesa";40;14;8;22
"078002";"Acquappesa";41;11;14;25
"078002";"Acquappesa";42;8;9;17
"078002";"Acquappesa";43;7;11;18
"078002";"Acquappesa";44;13;18;31
"078002";"Acquappesa";45;16;9;25
"078002";"Acquappesa";46;19;13;32
"078002";"Acquappesa";47;16;12;28
"078002";"Acquappesa";48;16;10;26
"078002";"Acquappesa";49;16;14;30
"078002";"Acquappesa";50;14;6;20
"078002";"Acquappesa";51;18;10;28
"078002";"Acquappesa";52;10;20;30
"078002";"Acquappesa";53;13;10;23
"078002";"Acquappesa";54;11;12;23
"078002";"Acquappesa";55;6;16;22
"078002";"Acquappesa";56;9;12;21
"078002";"Acquappesa";57;10;14;24
"078002";"Acquappesa";58;13;13;26
"078002";"Acquappesa";59;13;14;27
"078002";"Acquappesa";60;9;16;25
"078002";"Acquappesa";61;12;15;27
"078002";"Acquappesa";62;15;23;38
"078002";"Acquappesa";63;18;11;29
"078002";"Acquappesa";64;17;12;29
"078002";"Acquappesa";65;7;19;26
"078002";"Acquappesa";66;15;19;34
"078002";"Acquappesa";67;7;14;21
"078002";"Acquappesa";68;10;12;22
"078002";"Acquappesa";69;19;14;33
"078002";"Acquappesa";70;17;18;35
"078002";"Acquappesa";71;18;7;25
"078002";"Acquappesa";72;14;18;32
"078002";"Acquappesa";73;15;9;24
"078002";"Acquappesa";74;8;9;17
"078002";"Acquappesa";75;14;9;23
"078002";"Acquappesa";76;7;16;23
"078002";"Acquappesa";77;10;13;23
"078002";"Acquappesa";78;18;8;26
"078002";"Acquappesa";79;8;6;14
"078002";"Acquappesa";80;9;7;16
"078002";"Acquappesa";81;4;8;12
"078002";"Acquappesa";82;3;6;9
"078002";"Acquappesa";83;5;5;10
"078002";"Acquappesa";84;6;6;12
"078002";"Acquappesa";85;5;9;14
"078002";"Acquappesa";86;8;9;17
"078002";"Acquappesa";87;4;2;6
"078002";"Acquappesa";88;7;3;10
"078002";"Acquappesa";89;3;5;8
"078002";"Acquappesa";90;5;1;6
"078002";"Acquappesa";91;0;7;7
"078002";"Acquappesa";92;4;1;5
"078002";"Acquappesa";93;1;1;2
"078002";"Acquappesa";94;1;1;2
"078002";"Acquappesa";95;0;4;4
"078002";"Acquappesa";96;0;2;2
"078002";"Acquappesa";97;1;0;1
"078002";"Acquappesa";98;0;0;0
"078002";"Acquappesa";99;0;0;0
"078002";"Acquappesa";100;0;2;2
"078002";"Acquappesa";999;854;900;1754
"078003";"Acri";0;57;51;108
"078003";"Acri";1;52;45;97
"078003";"Acri";2;57;45;102
"078003";"Acri";3;50;58;108
"078003";"Acri";4;45;53;98
"078003";"Acri";5;66;53;119
"078003";"Acri";6;69;60;129
"078003";"Acri";7;77;64;141
"078003";"Acri";8;52;65;117
"078003";"Acri";9;62;67;129
"078003";"Acri";10;58;77;135
"078003";"Acri";11;66;52;118
"078003";"Acri";12;75;68;143
"078003";"Acri";13;82;85;167
"078003";"Acri";14;97;67;164
"078003";"Acri";15;92;78;170
"078003";"Acri";16;87;93;180
"078003";"Acri";17;87;89;176
"078003";"Acri";18;74;96;170
"078003";"Acri";19;112;116;228
"078003";"Acri";20;109;81;190
"078003";"Acri";21;100;75;175
"078003";"Acri";22;98;99;197
"078003";"Acri";23;100;83;183
"078003";"Acri";24;93;82;175
"078003";"Acri";25;103;107;210
"078003";"Acri";26;88;91;179
"078003";"Acri";27;89;102;191
"078003";"Acri";28;73;71;144
"078003";"Acri";29;70;63;133
"078003";"Acri";30;73;70;143
"078003";"Acri";31;91;69;160
"078003";"Acri";32;76;90;166
"078003";"Acri";33;102;84;186
"078003";"Acri";34;79;98;177
"078003";"Acri";35;66;73;139
"078003";"Acri";36;100;96;196
"078003";"Acri";37;82;99;181
"078003";"Acri";38;82;78;160
"078003";"Acri";39;117;88;205
"078003";"Acri";40;94;97;191
"078003";"Acri";41;108;109;217
"078003";"Acri";42;109;94;203
"078003";"Acri";43;79;110;189
"078003";"Acri";44;86;104;190
"078003";"Acri";45;93;94;187
"078003";"Acri";46;124;119;243
"078003";"Acri";47;108;126;234
"078003";"Acri";48;141;126;267
"078003";"Acri";49;110;123;233
"078003";"Acri";50;140;141;281
"078003";"Acri";51;119;136;255
"078003";"Acri";52;139;173;312
"078003";"Acri";53;157;143;300
"078003";"Acri";54;133;130;263
"078003";"Acri";55;150;148;298
"078003";"Acri";56;151;142;293
"078003";"Acri";57;156;156;312
"078003";"Acri";58;134;149;283
"078003";"Acri";59;138;155;293
"078003";"Acri";60;141;152;293
"078003";"Acri";61;125;157;282
"078003";"Acri";62;136;152;288
"078003";"Acri";63;140;161;301
"078003";"Acri";64;150;139;289
"078003";"Acri";65;153;169;322
"078003";"Acri";66;137;160;297
"078003";"Acri";67;105;130;235
"078003";"Acri";68;145;132;277
"078003";"Acri";69;116;144;260
"078003";"Acri";70;122;144;266
"078003";"Acri";71;138;127;265
"078003";"Acri";72;120;118;238
"078003";"Acri";73;102;138;240
"078003";"Acri";74;128;128;256
"078003";"Acri";75;105;119;224
"078003";"Acri";76;107;114;221
"078003";"Acri";77;112;118;230
"078003";"Acri";78;72;112;184
"078003";"Acri";79;97;96;193
"078003";"Acri";80;68;66;134
"078003";"Acri";81;65;85;150
"078003";"Acri";82;56;72;128
"078003";"Acri";83;64;80;144
"078003";"Acri";84;51;70;121
"078003";"Acri";85;47;80;127
"078003";"Acri";86;51;86;137
"078003";"Acri";87;52;71;123
"078003";"Acri";88;36;46;82
"078003";"Acri";89;33;40;73
"078003";"Acri";90;21;39;60
"078003";"Acri";91;32;40;72
"078003";"Acri";92;19;32;51
"078003";"Acri";93;21;36;57
"078003";"Acri";94;13;19;32
"078003";"Acri";95;7;21;28
"078003";"Acri";96;5;11;16
"078003";"Acri";97;2;9;11
"078003";"Acri";98;4;2;6
"078003";"Acri";99;0;4;4
"078003";"Acri";100;0;9;9
"078003";"Acri";999;8775;9284;18059
"078004";"Aiello Calabro";0;3;2;5
"078004";"Aiello Calabro";1;3;2;5
"078004";"Aiello Calabro";2;3;3;6
"078004";"Aiello Calabro";3;3;3;6
"078004";"Aiello Calabro";4;2;2;4
"078004";"Aiello Calabro";5;5;4;9
"078004";"Aiello Calabro";6;1;3;4
"078004";"Aiello Calabro";7;5;5;10
"078004";"Aiello Calabro";8;4;6;10
"078004";"Aiello Calabro";9;4;2;6
"078004";"Aiello Calabro";10;2;2;4
"078004";"Aiello Calabro";11;5;1;6
"078004";"Aiello Calabro";12;2;5;7
"078004";"Aiello Calabro";13;3;4;7
"078004";"Aiello Calabro";14;3;2;5
"078004";"Aiello Calabro";15;3;4;7
"078004";"Aiello Calabro";16;5;3;8
"078004";"Aiello Calabro";17;4;4;8
"078004";"Aiello Calabro";18;5;1;6
"078004";"Aiello Calabro";19;8;4;12
"078004";"Aiello Calabro";20;5;5;10
"078004";"Aiello Calabro";21;11;4;15
"078004";"Aiello Calabro";22;7;5;12
"078004";"Aiello Calabro";23;6;6;12
"078004";"Aiello Calabro";24;7;5;12
"078004";"Aiello Calabro";25;12;6;18
"078004";"Aiello Calabro";26;13;6;19
"078004";"Aiello Calabro";27;5;7;12
"078004";"Aiello Calabro";28;5;5;10
"078004";"Aiello Calabro";29;9;5;14
"078004";"Aiello Calabro";30;8;8;16
"078004";"Aiello Calabro";31;4;4;8
"078004";"Aiello Calabro";32;6;6;12
"078004";"Aiello Calabro";33;6;11;17
"078004";"Aiello Calabro";34;9;10;19
"078004";"Aiello Calabro";35;5;7;12
"078004";"Aiello Calabro";36;7;3;10
"078004";"Aiello Calabro";37;5;7;12
"078004";"Aiello Calabro";38;8;5;13
"078004";"Aiello Calabro";39;6;10;16
"078004";"Aiello Calabro";40;5;6;11
"078004";"Aiello Calabro";41;11;11;22
"078004";"Aiello Calabro";42;9;6;15
"078004";"Aiello Calabro";43;9;4;13
"078004";"Aiello Calabro";44;7;11;18
"078004";"Aiello Calabro";45;3;6;9
"078004";"Aiello Calabro";46;8;7;15
"078004";"Aiello Calabro";47;5;3;8
"078004";"Aiello Calabro";48;6;9;15
"078004";"Aiello Calabro";49;8;7;15
"078004";"Aiello Calabro";50;13;9;22
"078004";"Aiello Calabro";51;8;5;13
"078004";"Aiello Calabro";52;10;8;18
"078004";"Aiello Calabro";53;9;15;24
"078004";"Aiello Calabro";54;5;12;17
"078004";"Aiello Calabro";55;15;8;23
"078004";"Aiello Calabro";56;19;13;32
"078004";"Aiello Calabro";57;16;15;31
"078004";"Aiello Calabro";58;14;8;22
"078004";"Aiello Calabro";59;6;12;18
"078004";"Aiello Calabro";60;19;12;31
"078004";"Aiello Calabro";61;12;9;21
"078004";"Aiello Calabro";62;16;16;32
"078004";"Aiello Calabro";63;14;10;24
"078004";"Aiello Calabro";64;9;9;18
"078004";"Aiello Calabro";65;14;10;24
"078004";"Aiello Calabro";66;9;14;23
"078004";"Aiello Calabro";67;8;9;17
